@relation australian-train

@attribute A1 {0, 1}
@attribute A2 {(-inf-38.92], (38.92-inf)}
@attribute A3 {(-inf-4.165], (4.165-inf)}
@attribute A4 {1, 2, 3}
@attribute A5 {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14}
@attribute A6 {1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute A7 {(-inf-1], (1-inf)}
@attribute A8 {0, 1}
@attribute A9 {0, 1}
@attribute A10 {(-inf-0], (0-2], (2-inf)}
@attribute A11 {0, 1}
@attribute A12 {1, 2, 3}
@attribute A13 {(-inf-99], (99-inf)}
@attribute A14 {(-inf-485], (485-inf)}
@attribute class {0, 1}

@data
1,(-inf-38.92],(-inf-4.165],2,11,4,(-inf-1],0,1,(2-inf),0,2,(99-inf),(-inf-485],0
1,(38.92-inf),(4.165-inf),2,10,9,(1-inf),1,1,(2-inf),1,2,(-inf-99],(-inf-485],1
0,(-inf-38.92],(-inf-4.165],2,6,4,(-inf-1],0,0,(-inf-0],0,2,(99-inf),(-inf-485],0
1,(38.92-inf),(-inf-4.165],2,11,4,(-inf-1],1,0,(-inf-0],1,2,(99-inf),(-inf-485],1
1,(-inf-38.92],(-inf-4.165],2,13,8,(1-inf),1,0,(-inf-0],1,2,(-inf-99],(-inf-485],1
1,(38.92-inf),(-inf-4.165],1,3,8,(1-inf),0,0,(-inf-0],1,1,(99-inf),(-inf-485],0
0,(-inf-38.92],(-inf-4.165],2,11,4,(-inf-1],1,1,(2-inf),0,2,(-inf-99],(-inf-485],1
0,(38.92-inf),(4.165-inf),2,6,8,(1-inf),0,0,(-inf-0],0,2,(-inf-99],(-inf-485],0
0,(-inf-38.92],(-inf-4.165],2,11,4,(-inf-1],0,0,(-inf-0],0,2,(99-inf),(-inf-485],0
1,(-inf-38.92],(-inf-4.165],2,8,8,(-inf-1],0,1,(0-2],1,2,(99-inf),(-inf-485],0
1,(-inf-38.92],(-inf-4.165],2,9,5,(-inf-1],1,0,(-inf-0],1,2,(99-inf),(-inf-485],0
0,(-inf-38.92],(4.165-inf),2,9,4,(-inf-1],0,1,(0-2],0,2,(99-inf),(-inf-485],0
1,(-inf-38.92],(-inf-4.165],2,11,4,(1-inf),1,1,(0-2],1,2,(-inf-99],(-inf-485],1
1,(-inf-38.92],(-inf-4.165],1,8,4,(-inf-1],0,0,(-inf-0],0,2,(99-inf),(485-inf),0
1,(-inf-38.92],(4.165-inf),2,3,4,(-inf-1],1,0,(-inf-0],1,2,(99-inf),(-inf-485],0
1,(38.92-inf),(4.165-inf),2,11,8,(-inf-1],1,1,(0-2],0,2,(99-inf),(-inf-485],0
1,(-inf-38.92],(-inf-4.165],2,1,1,(-inf-1],0,0,(-inf-0],0,2,(-inf-99],(485-inf),0
0,(-inf-38.92],(-inf-4.165],2,8,8,(1-inf),1,1,(0-2],0,2,(99-inf),(-inf-485],1
1,(-inf-38.92],(4.165-inf),1,7,4,(1-inf),0,0,(-inf-0],1,2,(-inf-99],(485-inf),0
1,(-inf-38.92],(-inf-4.165],2,2,5,(1-inf),1,0,(-inf-0],1,2,(99-inf),(-inf-485],0
1,(-inf-38.92],(-inf-4.165],2,4,4,(-inf-1],0,0,(-inf-0],1,2,(99-inf),(-inf-485],0
1,(-inf-38.92],(-inf-4.165],2,7,4,(-inf-1],1,0,(-inf-0],0,1,(99-inf),(-inf-485],0
1,(-inf-38.92],(-inf-4.165],2,8,4,(-inf-1],0,0,(-inf-0],0,2,(99-inf),(-inf-485],1
1,(-inf-38.92],(-inf-4.165],2,4,4,(-inf-1],0,0,(-inf-0],0,2,(99-inf),(-inf-485],0
1,(38.92-inf),(4.165-inf),1,8,8,(1-inf),1,0,(-inf-0],0,2,(99-inf),(-inf-485],0
1,(-inf-38.92],(-inf-4.165],2,8,4,(1-inf),1,1,(2-inf),1,2,(-inf-99],(485-inf),1
1,(-inf-38.92],(-inf-4.165],2,4,4,(-inf-1],0,0,(-inf-0],0,2,(99-inf),(485-inf),0
1,(-inf-38.92],(4.165-inf),2,10,5,(1-inf),1,0,(-inf-0],1,1,(99-inf),(-inf-485],0
0,(-inf-38.92],(-inf-4.165],1,6,4,(-inf-1],1,0,(-inf-0],1,2,(99-inf),(-inf-485],1
1,(-inf-38.92],(-inf-4.165],2,4,8,(1-inf),1,1,(0-2],1,2,(99-inf),(-inf-485],1
1,(-inf-38.92],(4.165-inf),1,9,4,(-inf-1],1,0,(-inf-0],1,2,(99-inf),(-inf-485],1
0,(38.92-inf),(-inf-4.165],2,8,4,(1-inf),1,1,(2-inf),1,2,(99-inf),(485-inf),1
1,(38.92-inf),(-inf-4.165],1,8,4,(-inf-1],1,1,(2-inf),1,2,(99-inf),(-inf-485],1
0,(-inf-38.92],(4.165-inf),2,3,4,(-inf-1],0,0,(-inf-0],0,2,(99-inf),(485-inf),0
1,(-inf-38.92],(-inf-4.165],2,2,4,(-inf-1],0,0,(-inf-0],0,2,(99-inf),(-inf-485],0
0,(-inf-38.92],(4.165-inf),2,11,8,(1-inf),1,1,(0-2],0,2,(-inf-99],(-inf-485],1
1,(-inf-38.92],(-inf-4.165],2,9,4,(-inf-1],0,1,(0-2],0,2,(99-inf),(485-inf),0
1,(-inf-38.92],(-inf-4.165],1,8,4,(1-inf),0,0,(-inf-0],1,2,(99-inf),(-inf-485],1
